Age,Tenure,MonthlyCharges,TotalCharges,AverageUsageHours,SupportTickets,ChargePerMonth,TicketRatio,UsagePerDollar,CustomerValueScore,ContractRiskScore,EngagementScore,Gender,ContractType_Month-to-month,ContractType_One year,ContractType_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,Segment_At Risk Customer,Segment_Loyal Customer,Segment_New Customer,Segment_Regular Customer,Segment_VIP Customer
1.0308380383057296,-1.1841667192179968,0.004829175456147595,-0.4053889764899089,1.0696858639773645,-1.3287217407490024,-0.004253802581715085,-0.8108067711861927,0.23237040683721963,-0.9838013172026113,0.8214043092290633,2.346068970824292,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.8107709962695805,-0.4696241631763933,0.3191537904507815,-0.30790426142688443,-0.8259250009759483,-0.4052929126518432,0.26526744513911427,-0.4330621030191898,-0.8073081632557236,-0.30024172407807087,0.8214043092290633,-0.517568686325242,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.691039164414177,-1.0948488997127963,-0.34278511448217674,-0.9145964329241687,1.5288785183860336,-1.3287217407490024,-0.11785845753501087,-0.8108067711861927,0.8162339847139092,-0.9259200972054791,0.8214043092290633,2.346068970824292,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.8107709962695805,1.8079802342062177,-0.4847042550315933,0.9844146823669814,0.695632120945667,0.5181359154453159,-0.49904776224954805,-0.6219344371026913,0.4786515655835628,0.9817550320211115,-0.3798304220213945,-0.2525176850012755,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.554949705619022,-0.33564743391859264,-1.6333732494044026,-0.7774710784648525,-0.2617609574501163,-0.4052929126518432,-1.5568700741296413,-0.4897238032442402,2.1662296278102726,-0.8021970134152767,-1.5810651532718523,-0.17448516341172526,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.3898994240919103,1.852639143958818,0.6481959459468364,2.3040302556978207,-1.9612229231991511,-1.3287217407490024,0.6450769386313728,-0.8108067711861927,-1.3306148331850376,2.2706679502834315,0.8214043092290633,-0.8429322079257108,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.700737475251506,-1.0055310802075959,0.553933603211545,-0.7815118662226681,1.0259686290783858,1.441564743542475,0.6362677897437349,2.250094142553707,-0.1289741898648581,-0.7901995892547319,-1.5810651532718523,-0.4821990366155693,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.15056987016113332,0.20025948311260997,1.1643611163895298,0.7696618736404319,0.6538561720624457,1.9032791575910544,1.121312572627905,-0.008099351331311504,-0.5033293578384073,0.7716166191950035,0.8214043092290633,-0.7908791878588621,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8657877567786179,-0.38030634367119287,1.5147787473757437,0.16967593217721566,0.4788940853970673,1.441564743542475,1.532886732806757,0.20313944336734138,-0.6527121112643435,0.15057913202522685,0.8214043092290633,-0.6485445028823301,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.691039164414177,1.1380965879172145,1.4474985622263905,2.2062215956246765,2.673983680434697,1.441564743542475,1.4225585463386372,-0.4473166187990767,0.0500253923277156,2.189892822064648,0.8214043092290633,0.03641732096091531,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
